,Artist,Song,Class,probability_vector,label_vector
366,Me Before You," X Ambassadors ""Unsteady"" ",Sad,"[2.1901585967043502e-07, 0.004661887884140015, 8.619430724721155e-10, 0.0001741349697113037, 7.140504273843373e-35, 4.3995400642699933e-20, 0.6320158839225769]","[0, 0, 0, 0, 0, 0, 1]"
367,Ed Sheeran,Dive,Sad,"[0.19699451327323914, 0.3656640648841858, 0.2804858088493347, 0.18236055970191956, 0.040690064430236816, 0.07646286487579346, 0.012474685907363892]","[0, 1, 0, 0, 0, 0, 0]"
368,Ed Sheeran,Perfect,Sad,"[0.03368133306503296, 0.32622087001800537, 0.23710209131240845, 0.08120915293693542, 0.020545750856399536, 0.00751379132270813, 0.00220566987991333]","[0, 1, 0, 0, 0, 0, 0]"
369,Ed Sheeran,Hearts Don't Break Round Here,Sad,"[0.057525843381881714, 0.34216558933258057, 0.06393209099769592, 0.13721174001693726, 5.380886432249099e-05, 0.006848663091659546, 0.021832942962646484]","[0, 1, 0, 0, 0, 0, 0]"
370,Ed Sheeran,How Would You Feel,Sad,"[0.10997152328491211, 0.36975744366645813, 0.3135563135147095, 0.3034615218639374, 0.04417741298675537, 0.07977190613746643, 0.04260087013244629]","[0, 1, 0, 0, 0, 0, 0]"
371,Ed Sheeran,Supermarket Flowers,Sad,"[0.08335191011428833, 0.37832173705101013, 0.10870346426963806, 0.17403218150138855, 0.0007975399494171143, 0.010223209857940674, 0.013453841209411621]","[0, 1, 0, 0, 0, 0, 0]"
372,Ed Sheeran,Save Myself,Sad,"[0.09519940614700317, 0.38648200035095215, 0.1633453369140625, 0.28225719928741455, 9.836132085183635e-05, 0.016283273696899414, 0.004375159740447998]","[0, 1, 0, 0, 0, 0, 0]"
373,ZAYN,iT's YoU,Sad,"[0.17639759182929993, 0.40822136402130127, 0.3235785663127899, 0.4180103838443756, 0.07403719425201416, 0.20555955171585083, 0.1130811870098114]","[0, 0, 0, 1, 0, 0, 0]"
374,Lauv,Never Not,Sad,"[0.1740967333316803, 0.3933555483818054, 0.3394131660461426, 0.22612804174423218, 0.050637781620025635, 0.07907575368881226, 0.04805740714073181]","[0, 1, 0, 0, 0, 0, 0]"
375,Lauv,Getting Over You,Sad,"[0.246672123670578, 0.4212500751018524, 0.2742392420768738, 0.32488831877708435, 0.025093138217926025, 0.22500714659690857, 0.0760481059551239]","[0, 1, 0, 0, 0, 0, 0]"
376,Lauv,The Other,Sad,"[0.1356526017189026, 0.38230040669441223, 0.20379242300987244, 0.2415006458759308, 0.024856895208358765, 0.08346962928771973, 0.05952391028404236]","[0, 1, 0, 0, 0, 0, 0]"
377,Anson Seabra,I Can't Carry This Anymore,Sad,"[0.0962400734424591, 0.4112035632133484, 0.2943313717842102, 0.20643606781959534, 0.0020974278450012207, 0.0854637622833252, 0.0006879568099975586]","[0, 1, 0, 0, 0, 0, 0]"
378,Dave Thomas Junior,I Can't Make You Love Me,Sad,"[0.12938350439071655, 0.4022618532180786, 0.29522705078125, 0.28333285450935364, 0.07626721262931824, 0.08683726191520691, 0.010843932628631592]","[0, 1, 0, 0, 0, 0, 0]"
379,HAEVN,Back in the Water,Sad,"[0.05727618932723999, 0.40511155128479004, 0.2209644913673401, 0.09699815511703491, 0.000981837511062622, 0.041578322649002075, 0.007922112941741943]","[0, 1, 0, 0, 0, 0, 0]"
380,Lia Marie Johnson,Champagne,Sad,"[0.26530921459198, 0.37154316902160645, 0.2716723084449768, 0.42800360918045044, 0.012996584177017212, 0.13253888487815857, 0.0659317672252655]","[0, 0, 0, 1, 0, 0, 0]"
381,James Arthur,Safe Inside,Sad,"[0.10753142833709717, 0.39216503500938416, 0.2185995876789093, 0.23090893030166626, 0.007957905530929565, 0.05838078260421753, 0.003413856029510498]","[0, 1, 0, 0, 0, 0, 0]"
382,James Bay,Let It Go,Sad,"[0.07245206832885742, 0.38999438285827637, 0.17539486289024353, 0.14391309022903442, 0.001149982213973999, 0.03808501362800598, 0.009932130575180054]","[0, 1, 0, 0, 0, 0, 0]"
383,James Blunt,You're Beautiful,Sad,"[0.13829484581947327, 0.36822569370269775, 0.30704304575920105, 0.2765442430973053, 0.06710121035575867, 0.09163016080856323, 0.04882568120956421]","[0, 1, 0, 0, 0, 0, 0]"
384,Haux,Seaside,Sad,"[0.1286507546901703, 0.4151798188686371, 0.21982219815254211, 0.26888376474380493, 0.06370484828948975, 0.10575121641159058, 0.03154534101486206]","[0, 1, 0, 0, 0, 0, 0]"
385,Haux,Cologne,Sad,"[0.1551007330417633, 0.416755348443985, 0.26878029108047485, 0.1926710307598114, 0.0068933963775634766, 0.10751381516456604, 0.020016014575958252]","[0, 1, 0, 0, 0, 0, 0]"
386,Haux,Caves,Sad,"[0.1688174605369568, 0.4165407419204712, 0.28203171491622925, 0.22910887002944946, 0.023877203464508057, 0.06170809268951416, 0.15637487173080444]","[0, 1, 0, 0, 0, 0, 0]"
387,AURORA,Runaway,Sad,"[0.2090105414390564, 0.320715069770813, 0.23434382677078247, 0.1354745328426361, 0.0035932958126068115, 0.0212385356426239, 0.09826615452766418]","[0, 1, 0, 0, 0, 0, 0]"
388,Ruelle,Carry You,Sad,"[0.29185205698013306, 0.4280494749546051, 0.33404189348220825, 0.2655948996543884, 0.02300664782524109, 0.13315945863723755, 0.05125120282173157]","[0, 1, 0, 0, 0, 0, 0]"
389,Native,Ocean,Sad,"[0.3236243724822998, 0.42681148648262024, 0.2757810354232788, 0.31354987621307373, 0.0570107102394104, 0.15817901492118835, 0.15802592039108276]","[0, 1, 0, 0, 0, 0, 0]"
390,Winter Aid,The Wisp Sings,Sad,"[0.26890838146209717, 0.4163607358932495, 0.2781062424182892, 0.3075783848762512, 0.05358108878135681, 0.09072425961494446, 0.06932923197746277]","[0, 1, 0, 0, 0, 0, 0]"
391,Noah Cyrus,Make Me,Sad,"[0.19119367003440857, 0.39632493257522583, 0.248170405626297, 0.2907986640930176, 0.012611567974090576, 0.06038576364517212, 0.0035122036933898926]","[0, 1, 0, 0, 0, 0, 0]"
392,Rixton,Hotel Ceiling,Sad,"[0.1779375970363617, 0.36346572637557983, 0.2169913649559021, 0.22069796919822693, 0.029106825590133667, 0.09253391623497009, 0.03301018476486206]","[0, 1, 0, 0, 0, 0, 0]"
393,Across the Sea,The Sweeplings,Sad,"[0.13031357526779175, 0.4176422953605652, 0.16944804787635803, 0.18023818731307983, 0.01575872302055359, 0.04097267985343933, 0.05724412202835083]","[0, 1, 0, 0, 0, 0, 0]"
394,Frank Ocean,Chanel,Sad,"[0.026392340660095215, 0.26636239886283875, 0.02140989899635315, 0.10176059603691101, 1.1672750588331837e-05, 0.00839737057685852, 0.5084613561630249]","[0, 0, 0, 0, 0, 0, 1]"
395,Jon Bellion,Stupid Deep,Sad,"[0.12041351199150085, 0.4091126322746277, 0.28441157937049866, 0.34863799810409546, 0.048761576414108276, 0.08478662371635437, 0.05539357662200928]","[0, 1, 0, 0, 0, 0, 0]"
396,Julia Michaels,What A Time,Sad,"[0.1407252848148346, 0.4054948091506958, 0.27317509055137634, 0.37457552552223206, 0.05480599403381348, 0.12434342503547668, 0.043584197759628296]","[0, 1, 0, 0, 0, 0, 0]"
397,James Bay,Peer Pressure,Sad,"[0.13378018140792847, 0.347775399684906, 0.2885719835758209, 0.23547056317329407, 0.010526597499847412, 0.08615544438362122, 0.012224167585372925]","[0, 1, 0, 0, 0, 0, 0]"
398,Taylor Swift,Everything Has Changed,Sad,"[0.0931810736656189, 0.3795285224914551, 0.30743688344955444, 0.19603687524795532, 0.004486680030822754, 0.03857794404029846, 0.005238056182861328]","[0, 1, 0, 0, 0, 0, 0]"
399,Alessia Cara,Out Of Love,Sad,"[0.06983399391174316, 0.40498805046081543, 0.2742179036140442, 0.16928720474243164, 0.11535656452178955, 0.025962233543395996, 0.005277872085571289]","[0, 1, 0, 0, 0, 0, 0]"
400,Lauv,There's No Way,Sad,"[0.25323015451431274, 0.3841700553894043, 0.33106571435928345, 0.36608850955963135, 0.03656899929046631, 0.1462467908859253, 0.011006653308868408]","[0, 1, 0, 0, 0, 0, 0]"
401,The Lumineers,Sleep On The Floor,Sad,"[0.1293458640575409, 0.3585946559906006, 0.13500699400901794, 0.21861910820007324, 0.003970533609390259, 0.023174256086349487, 0.007978051900863647]","[0, 1, 0, 0, 0, 0, 0]"
402,Ed Sheeran,Best Part Of Me,Sad,"[0.10135957598686218, 0.32370826601982117, 0.2294968068599701, 0.19808202981948853, 0.0063745081424713135, 0.010108500719070435, 0.006356477737426758]","[0, 1, 0, 0, 0, 0, 0]"
403,Harry Hudson,Yellow Lights,Sad,"[0.08396819233894348, 0.42046549916267395, 0.2862822115421295, 0.13533827662467957, 0.00414276123046875, 0.067108154296875, 0.005949437618255615]","[0, 1, 0, 0, 0, 0, 0]"
404,Anson Seabra,Last Time,Sad,"[0.15834149718284607, 0.39388322830200195, 0.324354887008667, 0.4061402976512909, 0.06046828627586365, 0.11387798190116882, 0.07290679216384888]","[0, 0, 0, 1, 0, 0, 0]"
405,Ben Rector,Old Friends,Sad,"[0.11389550566673279, 0.394733190536499, 0.16373109817504883, 0.2951362133026123, 0.0016239583492279053, 0.02657952904701233, 0.02366417646408081]","[0, 1, 0, 0, 0, 0, 0]"
406,Nate Nics,I Hate U (remix... kinda),hate,"[0.05965152382850647, 0.1711263656616211, 0.10833942890167236, 0.4391342103481293, 9.288245200878009e-05, 0.023549944162368774, 0.01643267273902893]","[0, 0, 0, 1, 0, 0, 0]"
407,The Weeknd,Heartless,hate,"[0.03838324546813965, 0.18653160333633423, 0.09872949123382568, 0.39321476221084595, 0.000927269458770752, 0.04032883048057556, 0.001993626356124878]","[0, 0, 0, 1, 0, 0, 0]"
408,Nico Collins,Hate Me,hate,"[0.020855724811553955, 0.2038457989692688, 0.150202214717865, 0.4267548620700836, 0.0011915266513824463, 0.00993967056274414, 0.004213839769363403]","[0, 0, 0, 1, 0, 0, 0]"
409,Korn,Hater,hate,"[0.12746363878250122, 0.3093757629394531, 0.2124049961566925, 0.4279693365097046, 0.0051152706146240234, 0.06466275453567505, 0.08344799280166626]","[0, 0, 0, 1, 0, 0, 0]"
410,G-Eazy,Hate the Way,hate,"[0.015861332416534424, 0.102704256772995, 0.03952518105506897, 0.40727055072784424, 6.261791713768616e-05, 0.005182147026062012, 0.0009037256240844727]","[0, 0, 0, 1, 0, 0, 0]"
411,Bob Dylan,Positively 4th Street,hate,"[0.11855858564376831, 0.34035545587539673, 0.2522042691707611, 0.37576645612716675, 0.017823010683059692, 0.048704832792282104, 0.09042006731033325]","[0, 0, 0, 1, 0, 0, 0]"
412,Mariah Carey,H.A.T.E.U.,hate,"[0.03743869066238403, 0.24168235063552856, 0.18716904520988464, 0.2182699739933014, 0.00039571523666381836, 0.015662789344787598, 0.002670973539352417]","[0, 1, 0, 0, 0, 0, 0]"
413,Alanis Morissette,You Oughta Know,hate,"[0.08489793539047241, 0.263247013092041, 0.17584946751594543, 0.4337516129016876, 0.0005294978618621826, 0.00665852427482605, 0.003808826208114624]","[0, 0, 0, 1, 0, 0, 0]"
414,Kelsea Ballerini,I Hate Love Songs,hate,"[0.13563501834869385, 0.2613597512245178, 0.1510109305381775, 0.41214725375175476, 0.00618705153465271, 0.021568655967712402, 0.04131808876991272]","[0, 0, 0, 1, 0, 0, 0]"
415,Juice WRLD & Marshmello,Hate the Other Side,hate,"[0.020100057125091553, 0.11838117241859436, 0.04740545153617859, 0.40975600481033325, 4.867434654443059e-06, 0.03577226400375366, 0.005902498960494995]","[0, 0, 0, 1, 0, 0, 0]"
416,Hilary Duff,Haters,hate,"[0.1362367570400238, 0.26004305481910706, 0.13353925943374634, 0.3459593653678894, 0.006353646516799927, 0.032807111740112305, 0.019653141498565674]","[0, 0, 0, 1, 0, 0, 0]"
417,Linkin Park,Crawling,hate,"[0.08235573768615723, 0.31634145975112915, 0.1737871766090393, 0.4411858320236206, 0.0014287829399108887, 0.02813178300857544, 0.026325255632400513]","[0, 0, 0, 1, 0, 0, 0]"
418,Puddle of Mudd,She Hates Me,hate,"[0.10931921005249023, 0.2703036069869995, 0.2588489353656769, 0.42852523922920227, 0.018964648246765137, 0.07618018984794617, 0.06218394637107849]","[0, 0, 0, 1, 0, 0, 0]"
419,BLACKPINK,Love To Hate Me,hate,"[0.08826667070388794, 0.17746326327323914, 0.16112908720970154, 0.3928118050098419, 0.0006582736968994141, 0.0064070820808410645, 0.0016616880893707275]","[0, 0, 0, 1, 0, 0, 0]"
420,The All-American Rejects,Gives You Hell,hate,"[0.18397226929664612, 0.3057401478290558, 0.13937202095985413, 0.3587208390235901, 0.0002084672451019287, 0.012409240007400513, 0.012689858675003052]","[0, 0, 0, 1, 0, 0, 0]"
421,Conor Maynard,Hate How Much I Love You,hate,"[0.09238460659980774, 0.3007737994194031, 0.21332871913909912, 0.4355042278766632, 0.056754738092422485, 0.05478796362876892, 0.024445652961730957]","[0, 0, 0, 1, 0, 0, 0]"
422,Christina Aguilera,I Hate Boys,hate,"[0.1296689510345459, 0.11555907130241394, 0.10216474533081055, 0.4417039752006531, 0.00025010108947753906, 0.013481557369232178, 0.07403597235679626]","[0, 0, 0, 1, 0, 0, 0]"
423,Erasure,Love to Hate You,hate,"[0.07393905520439148, 0.2842828929424286, 0.2228856086730957, 0.37441179156303406, 0.030129581689834595, 0.041488200426101685, 0.13770431280136108]","[0, 0, 0, 1, 0, 0, 0]"
424,Joseline Hernandez,Hate Me Now,hate,"[0.08258533477783203, 0.07057127356529236, 0.05778670310974121, 0.4185662567615509, 8.136095857480541e-06, 0.03099396824836731, 0.28194552659988403]","[0, 0, 0, 1, 0, 0, 0]"
425,The Pussycat Dolls,I Hate This Part,hate,"[0.08884605765342712, 0.3204767107963562, 0.18379858136177063, 0.3665640354156494, 0.0065076351165771484, 0.03899380564689636, 0.04762566089630127]","[0, 0, 0, 1, 0, 0, 0]"
426,Papa Roach,Last Resort,hate,"[0.025383859872817993, 0.23397770524024963, 0.12798768281936646, 0.4142206311225891, 0.0002835094928741455, 0.025975197553634644, 0.0030392110347747803]","[0, 0, 0, 1, 0, 0, 0]"
427,Joan Jett & The Blackhearts,I Hate Myself for Loving You,hate,"[0.15508100390434265, 0.29342424869537354, 0.24372756481170654, 0.37845176458358765, 0.005916029214859009, 0.08323207497596741, 0.01244780421257019]","[0, 0, 0, 1, 0, 0, 0]"
428,Michael Kiwanuka,Love & Hate,hate,"[0.21137836575508118, 0.33134007453918457, 0.22543403506278992, 0.4158744215965271, 0.011922836303710938, 0.13033637404441833, 0.04932868480682373]","[0, 0, 0, 1, 0, 0, 0]"
429,Chevelle,The Red,hate,"[0.3203341066837311, 0.34245139360427856, 0.275864839553833, 0.4391956925392151, 0.06651395559310913, 0.19207632541656494, 0.25151216983795166]","[0, 0, 0, 1, 0, 0, 0]"
430,Nirvana,I Hate Myself and Want to Die,hate,"[0.18698278069496155, 0.34445834159851074, 0.21852344274520874, 0.4083709418773651, 0.00514867901802063, 0.11345383524894714, 0.17070353031158447]","[0, 0, 0, 1, 0, 0, 0]"
431,Paramore,Hate To See Your Heart Break,hate,"[0.07486647367477417, 0.27680763602256775, 0.21334531903266907, 0.4343891441822052, 0.006226986646652222, 0.030178546905517578, 0.06606996059417725]","[0, 0, 0, 1, 0, 0, 0]"
432,Bullet for My Valentine,All These Things I Hate (Revolve Around Me),hate,"[0.09778997302055359, 0.37030184268951416, 0.23343047499656677, 0.3632940649986267, 0.02199646830558777, 0.056258440017700195, 0.011170625686645508]","[0, 1, 0, 0, 0, 0, 0]"
433,Leppard def rock,When love & hate collide,hate,"[0.09550783038139343, 0.3021879494190216, 0.23445603251457214, 0.41136306524276733, 0.010861992835998535, 0.03604310750961304, 0.0038400590419769287]","[0, 0, 0, 1, 0, 0, 0]"
434,Avenged Sevenfold,Nightmare,hate,"[0.0047168731689453125, 0.2071790099143982, 0.06539225578308105, 0.407881498336792, 2.5689801077533048e-06, 0.0020884275436401367, 0.0008697211742401123]","[0, 0, 0, 1, 0, 0, 0]"
435,Theory,Hate My Life,hate,"[0.1002756655216217, 0.14809125661849976, 0.09999635815620422, 0.44176697731018066, 0.00013113021850585938, 0.05430510640144348, 0.11832579970359802]","[0, 0, 0, 1, 0, 0, 0]"
436,Linkin Park,One Step Closer,hate,"[0.1903964877128601, 0.40188008546829224, 0.30322960019111633, 0.38371309638023376, 0.06608620285987854, 0.07932338118553162, 0.181346595287323]","[0, 1, 0, 0, 0, 0, 0]"
437,Three Days Grace,I Hate Everything About You,hate,"[0.14194121956825256, 0.3698194622993469, 0.28718239068984985, 0.44720950722694397, 0.0882757306098938, 0.1325385868549347, 0.05413973331451416]","[0, 0, 0, 1, 0, 0, 0]"
438,Bebe Rexha,I’m Gonna Show You Crazy,hate,"[0.12017327547073364, 0.23824691772460938, 0.27504628896713257, 0.3872907757759094, 0.005074828863143921, 0.08582308888435364, 0.1311512589454651]","[0, 0, 0, 1, 0, 0, 0]"
439,Rihanna,Hate That I Love You,hate,"[0.09523001313209534, 0.233814537525177, 0.22518041729927063, 0.32598865032196045, 0.006315767765045166, 0.017523914575576782, 0.0026755332946777344]","[0, 0, 0, 1, 0, 0, 0]"
440,I DONT KNOW HOW BUT THEY FOUND ME,Choke,hate,"[0.20301368832588196, 0.3270643353462219, 0.2260567843914032, 0.39012056589126587, 0.016228169202804565, 0.06919589638710022, 0.41322168707847595]","[0, 0, 0, 0, 0, 0, 1]"
441,The Hives,Hate to Say I Told You So,hate,"[0.20113462209701538, 0.21269556879997253, 0.22575220465660095, 0.43382635712623596, 0.011342436075210571, 0.13009703159332275, 0.024736344814300537]","[0, 0, 0, 1, 0, 0, 0]"
442,Trivium,The Heart from Your Hate,hate,"[0.13696497678756714, 0.2894487977027893, 0.15091466903686523, 0.4437796473503113, 0.00815841555595398, 0.03977310657501221, 0.041542112827301025]","[0, 0, 0, 1, 0, 0, 0]"
443,MASN,Hate Me!,hate,"[0.08245444297790527, 0.3138904571533203, 0.21474695205688477, 0.43723011016845703, 0.002611815929412842, 0.03250738978385925, 0.035800397396087646]","[0, 0, 0, 1, 0, 0, 0]"
444,George Strait,I Hate Everything,hate,"[0.22049525380134583, 0.1866655945777893, 0.12425395846366882, 0.30342745780944824, 0.00016888976097106934, 0.025746166706085205, 0.346550315618515]","[0, 0, 0, 0, 0, 0, 1]"
445,Nine Inch Nails,Head Like a Hole,hate,"[0.26802897453308105, 0.39693206548690796, 0.31127873063087463, 0.43690255284309387, 0.018123984336853027, 0.20821350812911987, 0.06609374284744263]","[0, 0, 0, 1, 0, 0, 0]"
446,Jill Scott,Hate on Me,hate,"[0.0869118869304657, 0.20830976963043213, 0.22837787866592407, 0.38856446743011475, 0.0062156617641448975, 0.06301581859588623, 0.021741420030593872]","[0, 0, 0, 1, 0, 0, 0]"
447,Pantera,This Love,hate,"[0.08484306931495667, 0.3536152243614197, 0.23934811353683472, 0.44798582792282104, 0.023614585399627686, 0.08221706748008728, 0.026827841997146606]","[0, 0, 0, 1, 0, 0, 0]"
448,John Paul Young,I Hate The Music,hate,"[0.15495401620864868, 0.27787625789642334, 0.22946292161941528, 0.2566549777984619, 0.0005955994129180908, 0.01811036467552185, 0.001460045576095581]","[0, 1, 0, 0, 0, 0, 0]"
449,Lily Allen,F**k You (Live),hate,"[0.12074387073516846, 0.276819109916687, 0.2372439205646515, 0.4215480089187622, 0.0018489062786102295, 0.12735173106193542, 0.04073280096054077]","[0, 0, 0, 1, 0, 0, 0]"
450,Ben Folds Five,Song for the Dumped,hate,"[0.28760361671447754, 0.38239961862564087, 0.2502550184726715, 0.45686349272727966, 0.05009552836418152, 0.28674542903900146, 0.12936410307884216]","[0, 0, 0, 1, 0, 0, 0]"
451,Chris Brown,Deuces,hate,"[0.02652260661125183, 0.08775338530540466, 0.26275792717933655, 0.38475602865219116, 0.0002415478229522705, 0.024739980697631836, 0.0007378756999969482]","[0, 0, 0, 1, 0, 0, 0]"
452,Marcella Detroit,I Hate You Now,hate,"[0.1167958676815033, 0.33295848965644836, 0.29803037643432617, 0.37777966260910034, 0.005958855152130127, 0.1336553692817688, 0.007848739624023438]","[0, 0, 0, 1, 0, 0, 0]"
453,True Detective,Night Takes You Script,hate,"[0.003524601459503174, 0.027324825525283813, 0.0019407272338867188, 0.34809610247612, 3.7159546273368704e-11, 4.074236858286895e-05, 4.274477396393195e-05]","[0, 0, 0, 1, 0, 0, 0]"
454,The Game,Hate It or Love It,hate,"[0.017370790243148804, 0.04533979296684265, 0.024532854557037354, 0.3833281397819519, 4.050901054597489e-07, 0.014423877000808716, 0.00019371509552001953]","[0, 0, 0, 1, 0, 0, 0]"
455,Metallica,Dyers Eve,hate,"[0.08980143070220947, 0.23647376894950867, 0.09579417109489441, 0.4217589795589447, 0.00025832653045654297, 0.024567216634750366, 0.09285184741020203]","[0, 0, 0, 1, 0, 0, 0]"
456,Céline Dion,I Hate You Then I Love You,hate,"[0.16151723265647888, 0.3743785619735718, 0.22326752543449402, 0.43179789185523987, 0.016052603721618652, 0.08963492512702942, 0.05354371666908264]","[0, 0, 0, 1, 0, 0, 0]"
457,Chief Keef,Hate Bein’ Sober,hate,"[0.035755276679992676, 0.04711872339248657, 0.02818852663040161, 0.40542975068092346, 8.380145004593942e-07, 0.04643529653549194, 0.0026049911975860596]","[0, 0, 0, 1, 0, 0, 0]"
458,P!nk,So What,hate,"[0.21209952235221863, 0.17998826503753662, 0.1976361870765686, 0.3873082995414734, 0.00026291608810424805, 0.10965031385421753, 0.018803000450134277]","[0, 0, 0, 1, 0, 0, 0]"
459,Limp Bizkit,Break Stuff,hate,"[0.07497712969779968, 0.2385045886039734, 0.14019066095352173, 0.4266442656517029, 0.0011507868766784668, 0.08217307925224304, 0.001836150884628296]","[0, 0, 0, 1, 0, 0, 0]"
460,Sick Puppies,I Hate You,hate,"[0.11844509840011597, 0.3385064899921417, 0.26215457916259766, 0.4442497193813324, 0.0436532199382782, 0.12191849946975708, 0.021384477615356445]","[0, 0, 0, 1, 0, 0, 0]"
461,Bob Dylan,Idiot Wind,hate,"[0.03525236248970032, 0.1280326247215271, 0.058536261320114136, 0.3935111165046692, 7.730492143309675e-06, 0.004529237747192383, 0.2193962037563324]","[0, 0, 0, 1, 0, 0, 0]"
462,Staind,For You,hate,"[0.22270607948303223, 0.35875797271728516, 0.27955806255340576, 0.43771326541900635, 0.014088481664657593, 0.1482219099998474, 0.1593485176563263]","[0, 0, 0, 1, 0, 0, 0]"
463,Morrissey,We Hate It When Our Friends Become Successful,hate,"[0.26980385184288025, 0.23471873998641968, 0.19423428177833557, 0.41664689779281616, 0.026888340711593628, 0.08472731709480286, 0.18226468563079834]","[0, 0, 0, 1, 0, 0, 0]"
464,Flyleaf,I’m So Sick,hate,"[0.16574731469154358, 0.3748599886894226, 0.1357458531856537, 0.4305545389652252, 0.018220454454421997, 0.12397247552871704, 0.06536680459976196]","[0, 0, 0, 1, 0, 0, 0]"
465,The Prodigy,Smack My Bitch Up,hate,"[0.3840515911579132, 0.42205360531806946, 0.35967743396759033, 0.4611209034919739, 0.22681164741516113, 0.37088048458099365, 0.3870338797569275]","[0, 0, 0, 1, 0, 0, 0]"
466,Ivy,I Hate December,hate,"[0.24815702438354492, 0.32449108362197876, 0.28841638565063477, 0.45404765009880066, 0.12426584959030151, 0.15912750363349915, 0.13570138812065125]","[0, 0, 0, 1, 0, 0, 0]"
467,Nonpoint,Bullet With a Name,hate,"[0.1753617525100708, 0.2011231780052185, 0.1533559262752533, 0.40746036171913147, 0.0022462308406829834, 0.023936539888381958, 0.030169755220413208]","[0, 0, 0, 1, 0, 0, 0]"
468,The Jesus and Mary Chain,I Hate Rock ‘n’ Roll,hate,"[0.19772231578826904, 0.277305543422699, 0.2173718512058258, 0.44398313760757446, 0.01240009069442749, 0.1680542230606079, 0.1033276617527008]","[0, 0, 0, 1, 0, 0, 0]"
469,Amaury,Projects I’ve Listened To All Time,hate,"[0.23896068334579468, 0.29748010635375977, 0.21259459853172302, 0.31042778491973877, 0.0037655234336853027, 0.09699651598930359, 0.402427613735199]","[0, 0, 0, 0, 0, 0, 1]"
470,Machine Head,Aesthetics of Hate,hate,"[0.057066380977630615, 0.2590208649635315, 0.07412353157997131, 0.44423186779022217, 0.00015595555305480957, 0.02406919002532959, 0.2479109764099121]","[0, 0, 0, 1, 0, 0, 0]"
471,Papa Roach,Burn,hate,"[0.11684507131576538, 0.3222065567970276, 0.16923046112060547, 0.44627493619918823, 0.012695401906967163, 0.0787363052368164, 0.06031990051269531]","[0, 0, 0, 1, 0, 0, 0]"
472,Madison Beer,Dead,hate,"[0.13142648339271545, 0.25983136892318726, 0.2697444558143616, 0.30397775769233704, 0.03178378939628601, 0.08227771520614624, 0.026163101196289062]","[0, 0, 0, 1, 0, 0, 0]"
473,Ben Harper and Relentless7,Lay There & Hate Me,hate,"[0.11112800240516663, 0.20870530605316162, 0.069803386926651, 0.4008144438266754, 0.0002250075340270996, 0.008824795484542847, 0.044890373945236206]","[0, 0, 0, 1, 0, 0, 0]"
474,The Hives,Walk Idiot Walk,hate,"[0.1478293538093567, 0.20598018169403076, 0.2020103931427002, 0.4249495267868042, 0.007034361362457275, 0.06773307919502258, 0.017530500888824463]","[0, 0, 0, 1, 0, 0, 0]"
475,Green Day,F.O.D.,hate,"[0.16989538073539734, 0.36008554697036743, 0.24668478965759277, 0.43611156940460205, 0.004227966070175171, 0.1204221248626709, 0.1325329840183258]","[0, 0, 0, 1, 0, 0, 0]"
476,Fatboy Slim,Drop The Hate,hate,"[0.24197551608085632, 0.3281655013561249, 0.2024071216583252, 0.4534463882446289, 0.025186479091644287, 0.08006486296653748, 0.09778532385826111]","[0, 0, 0, 1, 0, 0, 0]"
477,Ingrid Michaelson,Hate You,hate,"[0.13399305939674377, 0.335956335067749, 0.23703357577323914, 0.449106901884079, 0.01519852876663208, 0.05581200122833252, 0.01784077286720276]","[0, 0, 0, 1, 0, 0, 0]"
478,Drake,Hate Sleeping Alone,hate,"[0.036182790994644165, 0.11865553259849548, 0.07976493239402771, 0.4193689823150635, 0.00027054548263549805, 0.01685798168182373, 0.0010975301265716553]","[0, 0, 0, 1, 0, 0, 0]"
479,Deftones,Be Quiet and Drive (Far Away),hate,"[0.2787775993347168, 0.3993750214576721, 0.3044564127922058, 0.44667717814445496, 0.08876100182533264, 0.2366335690021515, 0.18930572271347046]","[0, 0, 0, 1, 0, 0, 0]"
480,Jamiroquai,(Don’t) Give Hate A Chance,hate,"[0.032817691564559937, 0.22116291522979736, 0.05643320083618164, 0.39655202627182007, 2.276818486279808e-05, 0.013814777135848999, 0.000806272029876709]","[0, 0, 0, 1, 0, 0, 0]"
481,Of Mice & Men,You Make Me Sick,hate,"[0.11939069628715515, 0.24314388632774353, 0.15405488014221191, 0.4353910982608795, 0.0008291006088256836, 0.020362913608551025, 0.10973498225212097]","[0, 0, 0, 1, 0, 0, 0]"
482,​​blink-182,Shut Up,hate,"[0.12636852264404297, 0.28696590662002563, 0.22963440418243408, 0.4333534240722656, 0.018676698207855225, 0.13217878341674805, 0.04771655797958374]","[0, 0, 0, 1, 0, 0, 0]"
483,Five Finger Death Punch,100 Ways to Hate,hate,"[0.033918023109436035, 0.1352802813053131, 0.08602580428123474, 0.43637287616729736, 0.0006653666496276855, 0.012719511985778809, 0.01613369584083557]","[0, 0, 0, 1, 0, 0, 0]"
484,Halsey,I HATE EVERYBODY,hate,"[0.08904415369033813, 0.33510714769363403, 0.2470661699771881, 0.35649222135543823, 0.011230558156967163, 0.02685031294822693, 0.0057468414306640625]","[0, 0, 0, 1, 0, 0, 0]"
